Study_Hours,Sleep_Hours,Attendance_Percentage,CGPA,Social_Media_Hours,Physical_Activity_Hours,Family_Pressure,Financial_Stress,Exam_Score,Stress_Level
7,6,84,8.23,1,2,3,2,100,Low
4,8,98,6.43,3,3,1,5,45,Low
11,5,74,9.08,0,2,4,5,52,High
8,8,73,9.31,1,3,3,4,86,Low
5,8,61,9.23,0,0,4,2,80,Low
7,8,67,9.59,3,1,1,4,78,Low
10,9,64,6.26,3,0,3,1,56,Medium
3,9,93,8.78,6,1,4,1,87,Low
7,3,65,7.3,8,1,5,2,93,High
11,9,76,9.21,8,2,5,5,64,High
11,5,57,8.64,4,1,1,4,42,High
8,5,95,8.88,0,0,3,4,91,Medium
5,9,74,8.28,0,0,2,2,54,Low
4,7,66,5.89,5,3,3,2,59,Low
8,6,78,7.73,1,0,5,1,53,Medium
8,9,57,9.92,7,3,4,3,39,Medium
3,8,64,9.69,8,1,2,2,61,Low
6,4,76,5.22,3,0,1,3,74,Medium
5,6,95,5.82,4,1,2,2,60,Low
2,6,99,5.66,7,0,1,5,61,Medium
8,5,56,8.63,2,0,2,5,96,Medium
12,6,52,9.09,4,3,1,1,84,Medium
6,9,78,6.07,2,1,1,1,76,Low
2,8,93,7.53,2,0,2,3,63,Low
12,8,73,9.2,2,2,2,2,73,Medium
5,3,52,8.66,6,1,1,4,94,Medium
1,8,69,7.71,6,1,5,1,75,Low
12,8,95,7.95,6,1,2,4,67,High
10,5,64,7.54,7,3,3,4,50,High
6,8,74,6.49,4,2,4,2,57,Low
12,3,79,7.83,4,1,1,3,41,High
9,4,63,8.44,3,0,1,2,60,Medium
1,9,56,9.37,6,0,4,1,46,Low
11,5,66,8.18,3,3,5,4,39,High
11,4,93,8.81,1,0,4,2,83,High
10,5,69,5.8,3,1,2,2,60,Medium
12,7,85,7.31,7,0,4,2,39,High
12,6,58,5.05,8,1,1,1,56,Medium
3,7,87,6.23,2,0,4,3,47,Low
12,8,97,8.63,6,2,3,2,62,Medium
7,4,71,9.96,8,3,2,1,67,Medium
4,8,51,5.5,3,3,4,4,57,Low
9,6,73,7.01,2,2,1,5,52,Medium
3,5,57,9.0,4,2,2,1,64,Low
5,6,60,6.02,0,3,1,5,60,Low
3,3,62,7.78,2,2,5,2,50,Medium
7,6,66,8.67,7,1,3,2,73,Medium
5,3,57,8.08,7,0,5,1,67,High
9,6,70,5.94,3,3,3,5,60,Medium
7,9,67,6.78,1,2,4,2,82,Low
2,3,79,8.92,7,1,2,4,99,Medium
4,4,67,7.77,7,3,4,3,72,Medium
9,8,95,5.03,3,2,3,3,36,Medium
12,8,96,8.8,2,3,3,2,40,Medium
2,7,80,5.18,1,2,3,5,80,Low
10,8,87,8.73,8,3,1,2,84,Medium
9,5,81,6.01,0,1,2,5,72,Medium
10,9,60,9.79,6,1,4,4,52,High
5,6,94,6.84,4,0,4,5,61,Medium
2,7,74,6.63,7,3,5,2,75,Low
4,5,82,5.74,3,0,3,4,51,Medium
12,5,87,6.53,6,3,3,1,96,Medium
12,3,90,9.38,4,2,3,3,63,High
7,8,57,9.98,4,2,4,2,92,Low
12,4,60,6.84,8,0,5,2,56,High
8,4,71,7.24,8,3,1,2,40,Medium
3,7,100,8.61,8,0,2,4,60,Medium
1,9,73,9.43,5,1,1,1,73,Low
4,4,90,7.97,5,0,4,5,46,High
2,6,66,6.96,4,0,3,1,48,Low
8,4,61,7.06,8,2,2,4,56,High
4,7,95,8.48,7,0,4,2,85,Medium
2,4,81,5.02,6,3,4,3,57,Medium
6,6,64,8.1,6,2,4,2,82,Medium
6,3,65,6.78,5,0,2,5,84,High
10,9,71,8.97,4,1,2,3,47,Medium
4,7,77,5.46,3,0,5,2,44,Medium
6,3,69,7.94,2,0,5,3,89,High
2,3,82,7.4,2,0,1,1,43,Low
10,3,59,8.21,5,2,2,4,86,High
12,5,89,5.32,3,3,2,2,36,Medium
2,9,81,7.9,5,1,2,5,59,Low
10,8,99,7.81,2,0,5,1,47,Medium
4,9,82,7.8,3,3,4,2,85,Low
8,5,51,8.02,8,3,3,1,92,Medium
7,8,82,8.38,4,2,5,5,68,Medium
12,9,82,9.02,6,1,2,2,69,Medium
9,3,90,6.35,1,2,5,5,37,High
8,7,62,9.13,4,3,1,3,93,Low
5,8,79,7.49,8,3,2,5,82,Medium
2,6,82,5.39,2,3,1,3,98,Low
5,6,62,5.29,8,2,2,2,53,Medium
8,4,75,6.67,5,1,5,3,39,High
10,8,71,8.92,3,0,4,2,45,Medium
9,7,88,8.54,6,2,3,2,35,Medium
12,5,51,8.94,7,3,1,4,97,High
12,3,87,7.59,5,2,5,2,63,High
12,4,88,7.2,4,3,4,3,46,High
9,6,75,5.74,5,0,5,4,75,High
1,5,95,6.64,4,0,1,4,36,Low
9,5,99,7.17,7,1,3,2,71,High
7,3,64,5.44,0,3,5,5,79,High
9,8,83,6.1,6,1,2,5,82,Medium
8,6,91,7.99,1,1,4,4,58,Medium
1,7,93,8.68,8,0,5,2,56,Medium
12,5,98,9.99,0,2,4,5,45,High
8,3,89,9.67,5,2,2,2,92,Medium
8,7,60,8.21,8,1,3,2,80,Medium
11,8,52,7.11,0,0,3,4,63,Medium
3,6,55,8.18,3,3,2,4,69,Low
1,8,58,8.93,3,2,4,1,49,Low
8,5,55,5.59,8,1,5,5,94,High
3,7,58,7.05,4,2,2,5,76,Low
3,7,88,9.2,4,2,1,5,77,Low
1,7,80,6.92,5,3,4,3,83,Low
11,5,81,7.86,0,0,3,2,98,Medium
5,5,90,7.94,0,3,2,4,66,Low
10,8,99,5.92,8,0,3,5,98,High
7,4,61,6.81,2,2,4,1,36,Medium
10,8,57,6.67,3,1,3,5,58,Medium
9,6,57,5.13,0,3,2,2,100,Low
12,3,99,5.12,8,0,4,2,72,High
7,7,77,9.16,7,2,1,4,65,Medium
9,4,69,6.37,1,0,2,3,60,Medium
8,3,96,7.59,7,0,5,4,63,High
12,4,56,6.49,6,0,2,5,59,High
2,9,60,9.7,5,2,4,1,82,Low
1,8,69,6.3,0,1,2,4,99,Low
7,5,65,7.15,6,1,1,3,87,Medium
7,7,53,9.36,6,1,1,4,52,Medium
8,8,55,9.21,8,0,5,2,43,High
5,3,71,5.93,0,2,3,5,72,Medium
3,9,75,9.01,1,0,4,5,55,Low
12,9,52,7.29,8,1,4,5,99,High
8,9,90,7.41,8,1,3,5,55,Medium
6,3,91,5.67,5,2,1,5,61,Medium
11,3,63,5.4,5,0,1,5,78,High
3,3,60,8.64,3,3,2,1,62,Low
1,3,67,7.48,3,3,5,3,79,Medium
3,9,61,7.18,4,1,5,5,51,Medium
5,9,72,8.65,2,2,5,3,74,Low
3,4,61,8.83,0,0,2,5,37,Medium
1,8,62,5.79,0,0,5,4,100,Low
5,7,74,8.05,6,1,3,5,80,Medium
10,5,94,5.68,0,1,2,2,64,Medium
7,9,100,8.76,0,0,3,1,43,Low
7,5,68,8.28,2,0,2,4,45,Medium
11,8,95,9.78,3,1,5,4,100,High
9,8,85,5.34,3,0,3,2,65,Medium
10,5,94,5.29,1,3,3,5,67,Medium
10,9,57,6.41,0,1,3,1,73,Low
12,5,78,6.31,2,0,2,4,80,High
3,4,81,6.23,3,1,4,1,71,Low
7,6,100,9.53,2,2,5,4,94,Medium
1,9,93,6.25,7,1,3,5,65,Low
4,9,67,6.36,0,1,4,4,45,Low
4,7,55,8.8,1,2,5,4,36,Low
5,3,67,7.25,6,3,5,3,61,High
7,6,68,8.88,3,0,3,5,36,Medium
7,8,71,5.33,7,2,3,2,55,Medium
11,9,86,7.44,2,1,2,2,92,Low
4,5,81,5.17,5,0,4,5,39,High
7,6,90,5.31,8,2,4,2,86,Medium
11,7,52,9.53,0,0,3,5,79,Medium
3,8,77,5.7,0,0,5,2,54,Low
6,3,59,7.66,7,2,3,3,95,High
12,3,100,7.06,2,0,5,2,72,High
2,7,84,6.74,4,3,5,4,54,Low
10,7,78,9.5,0,2,3,5,59,Medium
9,5,64,5.11,4,3,1,1,36,Low
5,9,82,8.32,5,1,4,1,66,Low
6,3,56,9.82,7,0,5,5,60,High
12,8,61,7.8,2,1,5,3,75,High
12,6,98,9.68,2,1,1,2,35,Medium
12,8,79,5.26,8,0,2,3,85,High
12,4,70,7.09,3,2,1,1,39,Medium
4,4,80,6.3,3,0,1,5,47,Medium
11,7,73,8.65,6,1,5,5,53,High
10,5,69,9.91,1,1,4,3,46,Medium
7,4,86,6.28,7,2,1,3,82,Medium
12,3,53,8.27,5,0,2,2,59,High
9,8,77,5.99,2,1,3,4,91,Medium
7,8,93,7.83,8,3,1,4,69,Medium
1,7,69,7.32,4,1,1,2,39,Low
1,9,73,9.86,7,1,2,4,56,Low
9,9,99,8.04,6,2,4,1,91,Medium
11,6,98,6.75,7,3,1,4,81,Medium
9,7,100,5.57,6,1,1,2,88,Medium
4,6,81,5.76,2,1,4,4,37,Medium
9,9,90,6.13,1,3,2,5,87,Low
3,7,85,6.25,6,0,1,3,65,Low
7,7,83,9.25,2,0,4,1,67,Medium
6,7,85,7.81,2,1,1,5,84,Low
8,9,51,7.62,1,1,3,5,50,Medium
11,6,64,5.57,3,0,5,2,73,High
9,6,83,9.3,7,2,3,3,80,High
5,7,85,8.61,0,3,1,3,81,Low
1,4,55,5.34,0,3,2,1,78,Low
3,5,88,8.54,4,2,5,2,43,Medium
10,9,91,7.72,4,2,3,1,84,Low
12,5,100,5.41,0,2,4,4,94,High
8,5,100,7.29,5,2,2,5,49,Medium
11,6,61,7.42,0,2,3,1,70,Medium
6,6,52,5.83,4,2,4,5,97,Medium
8,4,94,9.73,8,3,1,2,75,Medium
9,5,67,9.25,4,2,4,4,58,High
4,5,89,8.35,5,0,3,2,83,Medium
1,7,70,7.31,7,2,3,4,52,Low
1,6,64,7.06,0,2,1,4,41,Low
10,5,82,8.25,1,3,4,5,38,High
4,8,84,7.73,8,3,4,2,94,Low
12,4,75,5.31,2,2,1,2,89,Medium
7,8,57,7.56,5,3,4,1,50,Low
2,8,85,9.03,4,1,1,2,63,Low
3,9,97,7.3,1,3,2,1,57,Low
1,9,79,5.26,6,3,3,3,48,Low
5,4,72,8.93,3,3,2,3,83,Low
1,8,91,6.01,0,3,5,3,67,Low
8,5,93,6.29,3,0,5,2,59,High
1,6,63,5.82,5,0,5,2,55,Medium
11,4,63,6.65,6,0,1,1,51,High
1,7,51,8.78,6,2,4,4,57,Low
2,8,86,7.6,6,2,2,1,91,Low
2,4,54,6.02,2,1,2,3,92,Low
12,3,87,9.39,5,0,2,1,48,High
6,3,94,9.4,7,2,2,4,54,High
7,9,90,9.35,3,3,5,2,64,Low
5,6,96,6.19,7,3,2,1,53,Low
1,5,63,7.26,1,0,4,3,87,Low
1,6,88,9.92,8,1,5,3,90,Medium
3,6,74,8.86,8,1,2,2,57,Low
2,6,69,5.14,7,3,1,1,96,Low
5,6,51,5.33,0,1,3,4,67,Low
12,7,88,7.32,1,0,3,2,52,Medium
10,7,55,9.55,5,3,3,1,67,Medium
6,9,66,7.69,4,2,5,5,66,Medium
7,4,74,7.49,8,2,2,3,95,Medium
4,3,77,5.53,4,1,5,4,88,High
7,6,51,8.28,1,3,4,4,51,Medium
11,9,84,9.11,3,3,1,4,53,Low
8,4,86,6.9,8,2,1,3,68,Medium
11,3,54,8.88,0,3,3,1,59,Medium
1,8,50,9.82,0,3,3,2,45,Low
6,5,89,6.02,6,3,3,1,50,Medium
8,7,61,7.62,2,1,2,2,95,Low
5,8,85,6.44,1,3,4,4,41,Low
4,3,94,8.96,8,0,4,1,50,High
2,8,72,7.89,2,1,4,4,50,Low
6,5,96,8.17,1,3,4,5,74,Medium
6,9,80,8.99,7,3,3,4,46,Medium
11,3,60,6.98,5,0,1,4,69,High
1,8,59,9.58,5,1,3,2,55,Low
9,7,52,7.67,6,2,4,5,84,High
12,7,63,5.79,6,2,3,4,77,High
11,4,65,8.48,5,1,4,4,51,High
6,8,59,8.97,3,3,5,5,66,Medium
3,6,78,6.58,8,3,1,5,75,Medium
4,8,59,9.29,5,2,5,1,40,Low
12,9,61,9.53,3,2,2,2,61,Medium
11,3,79,6.38,2,2,3,5,54,High
